STORE,STORE CODE,DATE,ORDER #,RECEIPT#,AMOUNT OF RECEIPTS,BALANCE OUTSTANDING,DELIVERY DATE,COMM YES/NO,PRODUCT CODE,HEAD+BASE,HEAD+BASE + FRAME,COMPLETE,COLOR,DIRECT Y/N,PHOTO grnte/prpxs,WALL INCLUDED,COMMENTS
LICHTENBURG,LTX0000,25/04/24,1084,2207,1000,10500,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,26/04/24,1054,2208,1000,25800,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/04/24,1014,2209,15000,2400,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/04/24,1085,2210,10700,0,04/05/24,YES,TRB050,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,29/04/24,1086,2211,7500,0,22/05/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/04/24,1087,2212,1000,7300,01/07/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,878,2213,500,0,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,1054,2214,1000,24800,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,1014,2215,2400,0,16/05/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,1088,2216,8000,3500,03/06/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,906,2217,4000,0,09/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/05/24,882,2218,1000,0,11/06/24,YES,TRE041,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/05/24,1041,2219,1000,3000,N/A,YES,TRB004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,03/05/24,1089,2220,1500,7400,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/05/24,1043,2221,500,3400,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/05/24,1068,2222,1000,3300,N/A,YES,TRB002,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/05/24,1088,2223,3500,0,16/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,04/05/24,1090,2224,4500,4500,16/05/24,YES,TRB004,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/05/24,1021,2225,2000,2700,11/06/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/05/24,1032,2226,1000,3900,N/A,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,06/05/24,1004,2227,900,0,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/05/24,1046,2228,3500,1400,14/06/24,YES,TRS004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/05/24,1090,2229,4500,0,16/05/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/05/24,1078,2230,1000,2900,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/05/24,993,2231,500,12300,31/07/24,YES,TRS045,N/A,N/A,X,B,NO,NO,NO,
